gid;geom_err;ident;domanial;groupe;cat_dig;cat_rhv;passage;nom_voie;voiegrandtr;rg_fv_graph;rg_fv_graph_1;rg_fv_graph_2;cdate;mdate;longueur_m
9304007;;71640;;1;10;64;;Rue Emilie du Châtelet;False;;;1;2023-05-23 00:00:00+02:00;2025-02-12 00:00:00+01:00;268m
9304018;;71662;5;1;10;64;;Rue Madeleine Brès;False;8898;19272;1;2023-05-17 00:00:00+02:00;2023-05-17 00:00:00+02:00;55m
9304147;13356;71866;5;1;10;64;;Rue Jeanne Barret;False;9182;23288;1;2023-08-29 00:00:00+02:00;2023-08-29 00:00:00+02:00;383m
9304006;;71757;5;1;10;64;;Passage Yvonne Oddon;False;3792;26253;1;2023-06-08 00:00:00+02:00;2023-06-08 00:00:00+02:00;69m
9303765;;50062;5;1;9;4;;Parvis des Archives;False;22589;12851;1;2016-01-27 00:00:00+01:00;2016-01-28 00:00:00+01:00;84m
9303567;;37376;4;1;5;64;;Allée Jean Giono;False;13823;10757;1;2003-09-30 00:00:00+02:00;2012-06-22 00:00:00+02:00;612m
9304111;;71657;5;1;10;64;;Rue Charlotte Perriand;False;959;20999;1;2023-05-17 00:00:00+02:00;2024-10-11 00:00:00+02:00;293m
9297755;;7796;4;1;5;4;;Rue Edouard Mayaudon;False;23935;9142;1;1995-01-25 00:00:00+01:00;2015-04-16 00:00:00+02:00;95m
9301042;;54402;4;97;6;98;;Pont de pierre;False;23721;24;1;2019-05-29 00:00:00+02:00;2019-05-29 00:00:00+02:00;1481m
9296940;;33502;4;1;4;4;;Rue Chabrely;False;14964;19985;1;2003-02-28 00:00:00+01:00;2012-06-22 00:00:00+02:00;81m
9299520;;9044;4;1;5;4;;Rue Laville Fatin;False;12678;12882;1;1995-01-25 00:00:00+01:00;2015-04-16 00:00:00+02:00;64m
9304107;;71655;5;1;10;64;;Rue Manon Rolland;False;3856;9221;1;2023-05-16 00:00:00+02:00;2023-05-16 00:00:00+02:00;305m
9298763;;8551;4;1;5;4;;Rue Hortense;False;19360;10835;1;1995-01-25 00:00:00+01:00;2021-12-09 00:00:00+01:00;655m
9298659;;28338;4;1;5;3;;Rue Gustave Carde;False;19852;2181;1;1995-12-20 00:00:00+01:00;2016-05-25 00:00:00+02:00;217m
9301651;;54576;4;1;5;33;;Rue de la Rotonde;False;4564;22699;1;2023-04-28 00:00:00+02:00;2025-01-23 00:00:00+01:00;631m
9304071;;71635;5;1;10;64;;Rue Carménère;False;27564;27964;1;2023-05-15 00:00:00+02:00;2023-05-15 00:00:00+02:00;144m
9304159;;71753;5;1;10;64;;Rue du Merlot;False;12060;1346;1;2023-06-07 00:00:00+02:00;2023-06-07 00:00:00+02:00;34m
9301402;;71347;4;1;5;33;;Rue des Queyries;False;4564;29101;1;1999-11-03 00:00:00+01:00;2022-02-09 00:00:00+01:00;350m
9303597;;38028;0;1;5;64;;Place des Droits de l'Enfant;False;16580;25822;1;2004-02-27 00:00:00+01:00;2022-10-10 00:00:00+02:00;43m
9304070;;71642;5;1;10;64;;Rue des Tulipes;False;18982;5865;1;2023-05-15 00:00:00+02:00;2023-05-15 00:00:00+02:00;210m
9303520;;36480;5;1;5;4;;Rue Gaëtan Dumas;False;21578;10764;1;2002-02-08 00:00:00+01:00;2013-04-08 00:00:00+02:00;141m
