gid	geom_err	ident	domanial	groupe	cat_dig	cat_rhv	passage	nom_voie	voiegrandtr	rg_fv_graph	rg_fv_graph_1	rg_fv_graph_2	cdate	mdate	longueur_m
9310362		61550	4	1	5	4		Chemin Pouyanne	False	20998		1	1995-01-25 00:00:00+01:00	2024-09-24 00:00:00+02:00	175 m
9310884		72184	4	1	5	64		Ruelle Dupas-Pelletan	False			1	2024-09-04 00:00:00+02:00	2024-09-04 00:00:00+02:00	81 m
9310048		28829	4	1	5	3		Rue Jean Dupas	False	1624		1	1996-02-13 00:00:00+01:00	2024-09-04 00:00:00+02:00	505 m
9300017		9426	4	1	4	3		Rue Marcel Sembat	False	28921	8487	1	1995-01-25 00:00:00+01:00	2018-03-08 00:00:00+01:00	284 m
9302396		11093	4	1	5	4		Cité de la Touratte	False	14212	8893	1	1995-01-25 00:00:00+01:00	2012-06-22 00:00:00+02:00	117 m
9298169		8104	4	1	5	4		Rue Franc Sanson	False	12782	4260	1	1995-01-25 00:00:00+01:00	2012-06-22 00:00:00+02:00	290 m
9310147		62162	4	1	5	4		Impasse Louis Ellias	False	2734	12305	1	1995-01-25 00:00:00+01:00	2012-06-22 00:00:00+02:00	143 m
9303606		39302	4	1	5	64		Rue Emile Henriot	False	17453	24653	1	2004-11-15 00:00:00+01:00	2014-09-12 00:00:00+02:00	231 m
9303604		71254	4	1	5	64		Rue d'Artagnan	False	2107		1	2004-07-30 00:00:00+02:00	2025-07-03 00:00:00+02:00	283 m
9310895		72420	4	1	5	64		Allée Camille Muffat	False			1	2025-07-03 00:00:00+02:00	2025-07-03 00:00:00+02:00	180 m
9309925		20086	4	1	4	4		Rue Emile Combes	False	20998	22551	1	1995-01-26 00:00:00+01:00	2014-09-12 00:00:00+02:00	398 m
9310626		3617	4	1	5	4		Rue Jean Monnet	False	3083	1257	1	1995-01-25 00:00:00+01:00	2012-06-22 00:00:00+02:00	143 m
9310383		43702	4	1	4	3		Chemin Richelieu	False		22551	1	2025-07-03 00:00:00+02:00	2025-07-03 00:00:00+02:00	167 m
9298515		8359	4	1	4	3		Rue Giacomo Matteotti	False	8893	10377	1	1995-01-25 00:00:00+01:00	2012-06-22 00:00:00+02:00	286 m
9301218		22484	5	1	5	4		Impasse de la Preceinte	False		4038	1	1995-01-26 00:00:00+01:00	2024-09-24 00:00:00+02:00	155 m
9310738		27286	4	1	4	3		Avenue du 11 Novembre 1918	False	12070	8487	1	1998-11-25 00:00:00+01:00	2018-03-08 00:00:00+01:00	256 m
9298972		8697	5	1	5	4		Impasse Jeanne Lafond	False	10377	26223	1	1995-01-25 00:00:00+01:00	2012-06-22 00:00:00+02:00	41 m
9310892		72423	4	1	5	64		Rue Florence Arthaud	False			1	2025-07-03 00:00:00+02:00	2025-07-03 00:00:00+02:00	456 m
9310897		72421	4	1	9	64		Rue Françoise Dolto	False			1	2025-07-03 00:00:00+02:00	2025-07-03 00:00:00+02:00	249 m
9309830		3227	4	1	5	4		Avenue Camille Pelletan	False	12305		1	1995-01-25 00:00:00+01:00	2024-09-04 00:00:00+02:00	191 m
															4 629 m
