gid;geom_err;ident;domanial;groupe;cat_dig;cat_rhv;passage;nom_voie;voiegrandtr;rg_fv_graph;rg_fv_graph_1;rg_fv_graph_2;cdate;mdate;longueur_m
9344145;;50533;5;1;9;99;;Sente des Carrelets;False;8405;537;1;2015-08-03 00:00:00+02:00;2021-03-22 00:00:00+01:00;105,506849
9337840;;30043;4;1;5;4;;Rue Denise;False;23328;8110;1;1997-09-24 00:00:00+02:00;2017-05-15 00:00:00+02:00;249,76353
9339302;;8636;4;1;4;3;;Rue Jean Hameau;False;21252;25306;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;503,4443531
9343362;;38215;4;1;5;4;;Esplanade Saint Louis;False;5903;19989;1;2004-07-26 00:00:00+02:00;2022-11-03 00:00:00+01:00;181,0829067
9337834;;62693;4;1;5;4;;Rue Delord;False;26461;14049;1;1995-01-25 00:00:00+01:00;2015-07-15 00:00:00+02:00;502,8642378
9339850;;8996;4;1;5;4;;Rue Lana;False;14049;7140;1;1995-01-25 00:00:00+01:00;2015-08-05 00:00:00+02:00;81,58883789
9340078;;9163;5;1;5;4;;Cité Lhoste Clos;False;27824;7692;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;66,48152962
9341841;;22507;4;1;4;3;;Cours du Raccordement Ambroise Croizat;False;16043;19615;1;1995-01-26 00:00:00+01:00;2012-06-22 00:00:00+02:00;494,7725245
9344143;;50999;5;1;9;99;;Sente de la Désirade;False;27254;2534;1;2016-11-03 00:00:00+01:00;2019-01-04 00:00:00+01:00;101,6679836
9344154;;49744;5;1;5;64;;Rue Emile Peynaud;False;3017;11309;1;2015-07-15 00:00:00+02:00;2017-05-23 00:00:00+02:00;100,3537329
9337458;;7305;4;1;5;4;;Rue Charles Durand;False;12234;25117;1;1995-01-25 00:00:00+01:00;2020-11-03 00:00:00+01:00;175,0733278
9342310;;10767;4;1;5;4;;Rue Sainte-Philomene;False;21084;636;1;1995-01-25 00:00:00+01:00;2015-04-16 00:00:00+02:00;99,32795434
9340125;;9199;4;1;5;4;;Rue Lombard;False;21336;6477;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;422,4064791
9340691;;9612;4;1;3;2;;Cours du Médoc;False;21632;21084;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;1445,224376
9343944;;26679;4;1;5;4;;Rue Marcel Pagnol;False;13636;23632;1;2003-02-04 00:00:00+01:00;2021-03-22 00:00:00+01:00;177,4847455
