gid	geom_err	ident	domanial	groupe	cat_dig	cat_rhv	passage	nom_voie	voiegrandtr	rg_fv_graph	rg_fv_graph_1	rg_fv_graph_2	cdate	mdate	longueur_m
9343265		53361	1	1	3	1		Passage Supérieur Echangeur de Labarde	False	3265	8424	1	2019-05-17 00:00:00+02:00	2019-05-17 00:00:00+02:00	326,08202
9343197		40807	4	1	5	4		Rue du Docteur Gabriel Pery	False	25307	2996	1	1995-01-25 00:00:00+01:00	2018-01-08 00:00:00+01:00	823,5283259
9340669		9594	4	1	5	4		Chemin Maurice Lagardere	False	3988	7012	1	1995-01-25 00:00:00+01:00	2017-11-21 00:00:00+01:00	320,2738916
9343320		48997	4	1	5	4		Rue Jean Samazeuilh	False	11380	12852	1	1996-04-01 00:00:00+02:00	2020-11-20 00:00:00+01:00	302,3998214
9343298		53345	1	2	1	1		Rocade Nord	False	24224	24245	1	2019-05-17 00:00:00+02:00	2019-05-17 00:00:00+02:00	672,4923861
9339562		53645	4	3	5	4	INFERIEUR	Cours Jules Ladoumegue	False	29642	27028	1	2019-05-20 00:00:00+02:00	2019-05-20 00:00:00+02:00	1972,880573
9341459		10192	4	1	5	4		Rue Pierre Baour	False	21525	5413	1	1995-01-25 00:00:00+01:00	2012-06-22 00:00:00+02:00	613,3788544
9343239		22638	1	1	8	1		Echangeur de Labarde	False	14599	8376	1	2023-05-17 00:00:00+02:00	2023-05-17 00:00:00+02:00	984,4388026
9338142		7786	4	1	4	3		Rue Edmond Besse	False	10436	18913	1	1995-01-25 00:00:00+01:00	2014-09-16 00:00:00+02:00	626,2106393
9337410		27125	4	2	3	2		Cours Charles Bricaud	False	9790	3052	1	2003-01-29 00:00:00+01:00	2017-03-02 00:00:00+01:00	821,517944
9343780		39304	4	1	9	4		Allée Pietonne Secteur Hotels	False	12729	6368	1	2004-11-15 00:00:00+01:00	2015-01-21 00:00:00+01:00	136,374271
9344144		49652	5	1	5	64		Rue Micheline Ostermeyer	False	25391	29683	1	2015-05-21 00:00:00+02:00	2015-05-21 00:00:00+02:00	554,9796847
9341434		10178	4	1	5	4		Cité Peyronneaud	False	29308	4955	1	2023-08-08 00:00:00+02:00	2023-08-08 00:00:00+02:00	306,616783
9343618		38023	4	1	5	4		Rue Cardinal Richaud	False	17337	23650	1	2004-02-26 00:00:00+01:00	2012-06-22 00:00:00+02:00	552,5055323
9338157		48578	4	1	5	4		Rue Edouard Faure	False	24700	29414	1	2014-09-16 00:00:00+02:00	2014-09-16 00:00:00+02:00	416,748785
9343322		11388	4	1	5	4		Rue du Prof. Georges Jeanneney	False	25307	12420	1	1995-01-25 00:00:00+01:00	2018-01-08 00:00:00+01:00	114,1943166
9343319		11387	4	1	5	33		Rue du Professeur René Cruchet	False	7220	2996	1	1995-01-25 00:00:00+01:00	2018-05-03 00:00:00+02:00	419,350461
9344015		38393	7	1	9	4		Allée Pietonne Secteur Special Activ	False	27005	17047	1	2005-02-28 00:00:00+01:00	2018-01-08 00:00:00+01:00	252,0659504
9343973		37033	4	1	5	4		Rue Germaine Tailleferre	False	16517	21370	1	2003-06-20 00:00:00+02:00	2013-11-20 00:00:00+01:00	144,1129256
