;Bastide Q7 S1;Bastide Q7 S2;Bastide Q7 S3;Bastide Q7 S4;Bastide Q7 S5;;Bx-Maritime Q1 S1;Bx-Maritime Q1 S2;Bx-Maritime Q1 S3;Bx-Maritime Q1 S4
;nom_voie;nom_voie;nom_voie;nom_voie;nom_voie;;nom_voie;nom_voie;nom_voie;nom_voie
;Rue des artisans;Rue Emilie du Châtelet;Rue Cazenave;Rue Léonard Lenoir;Chemin Pouyanne;;Sente de l'Hermione;Sente des Carrelets;Passage Supérieur Echangeur de Labarde;Avenue de Laroque
;Chemin de la Tuilerie;Rue Madeleine Brès;Rue Edouard Branly;Rue des Osiers;Ruelle Dupas-Pelletan;;Rue Pourmann;Rue Denise;Rue du Docteur Gabriel Pery;Echangeur du Jonc
;Sente Elise Rivet;Rue Jeanne Barret;Rue du Recteur Thamin;Cité Feaugas;Rue Jean Dupas;;Rue Bradley;Rue Jean Hameau;Chemin Maurice Lagardere;Mail des Bordelais
;Place Florence Nightingale;Passage Yvonne Oddon;Square Pierre Bernadas;Passage Durand;Rue Marcel Sembat;;Impasse Amédée Jouandot;Esplanade Saint Louis;Rue Jean Samazeuilh;Rue Jean Royer
;Cité Roques;Parvis des Archives;Rue Béranger;Pont Saint-Jean;Cité de la Touratte;;Place Victor Raulin;Rue Delord;Rocade Nord;Cours des Aubiers
;Sente Charlotte-de-Luxembourg;Allée Jean Giono;Boulevard de l'Entre Deux Mers;Rue de Cénac;Rue Franc Sanson;;Passage de la Nelly;Rue Lana;Cours Jules Ladoumegue;Allée du Milan Noir
;Rue Fernand Belliard;Rue Charlotte Perriand;Rue Roturier;Rue Sem;Impasse Louis Ellias;;Esplanade des Résistantes et des Résistants étrangers;Cité Lhoste Clos;Rue Pierre Baour;Rue Professeur Lannelongue
;Place Marie-Luze;Rue Edouard Mayaudon;Rue de Tresses;Rue Calvimont;Rue Emile Henriot;;Rue Joseph Brunet;Cours du Raccordement Ambroise Croizat;Echangeur de Labarde;Rue Surcouf
;Rue Saint-Emilion;Pont de pierre;Rue Capitaine Ferrand;Square Simone Brandy;Rue d'Artagnan;;Place Adolphe Buscaillet;Sente de la Désirade;Rue Edmond Besse;Pont des Hotels
;Rue des Vivants;Rue Chabrely;Rue du Cypressat;Place de Stalingrad;Allée Camille Muffat;;Impasse Bouillon;Rue Emile Peynaud;Cours Charles Bricaud;Impasse Duguay-Trouin 2
;Rue Solitude;Rue Laville Fatin;Rue Baudry Lacantinerie;Allée des Abeilles;Rue Emile Combes;;Cité Lafon;Rue Charles Durand;Allée Pietonne Secteur Hotels;Parking Auchan
;Rue Edouard Mayaudon;Rue Manon Rolland;Rue Alexander Fleming;Sente de la Chaloupe;Rue Jean Monnet;;Rue Delbos;Rue Sainte-Philomene;Rue Micheline Ostermeyer;Impasse Duguay-Trouin 1
;Rue de Libourne;Rue Hortense;Impasse Lafargue;Sente de la Goélette;Chemin Richelieu;;Rue Charles Martin;Rue Lombard;Cité Peyronneaud;Place Ginette Neveu
;Allée Motobloc;Rue Gustave Carde;Cité de Libourne;Sente des Terres-Neuviers;Rue Giacomo Matteotti;;Rue Arago;Cours du Médoc;Rue Cardinal Richaud;Passage Supérieur Echangeur de Labarde
